"","culmen_length_mm","culmen_depth_mm"
"1",46.5,17.9
"2",50,19.5
"3",51.3,19.2
"4",45.4,18.7
"5",52.7,19.8
"6",45.2,17.8
"7",46.1,18.2
"8",51.3,18.2
"9",46,18.9
"10",51.3,19.9
"11",46.6,17.8
"12",51.7,20.3
"13",47,17.3
"14",52,18.1
"15",45.9,17.1
"16",50.5,19.6
"17",50.3,20
"18",58,17.8
"19",46.4,18.6
"20",49.2,18.2
"21",42.4,17.3
"22",48.5,17.5
"23",43.2,16.6
"24",50.6,19.4
"25",46.7,17.9
"26",52,19
"27",50.5,18.4
"28",49.5,19
"29",46.4,17.8
"30",52.8,20
"31",40.9,16.6
"32",54.2,20.8
"33",42.5,16.7
"34",51,18.8
"35",49.7,18.6
"36",47.5,16.8
"37",47.6,18.3
"38",52,20.7
"39",46.9,16.6
"40",53.5,19.9
"41",49,19.5
"42",46.2,17.5
"43",50.9,19.1
"44",45.5,17
"45",50.9,17.9
"46",50.8,18.5
"47",50.1,17.9
"48",49,19.6
"49",51.5,18.7
"50",49.8,17.3
"51",48.1,16.4
"52",51.4,19
"53",45.7,17.3
"54",50.7,19.7
"55",42.5,17.3
"56",52.2,18.8
"57",45.2,16.6
"58",49.3,19.9
"59",50.2,18.8
"60",45.6,19.4
"61",51.9,19.5
"62",46.8,16.5
"63",45.7,17
"64",55.8,19.8
"65",43.5,18.1
"66",49.6,18.2
"67",50.8,19
"68",50.2,18.7
